Frame No.,UTC Timestamp,Lat,Long,estimated_time,time,gps_lat,gps_lon,gps_lat_rel,gps_lon_rel,x,y,width,height,x_cent,y_cent,dlat,dlon,d2lat,d2lon,d3lat,d3lon,d4lat,d4lon
2611,19:46:05,32.70297,-117.234631,19:46:07.46,113.48809523809824,32.702869667,-117.234023333,-0.00010723300000137215,0.0006076669999970363,1022.6,450.92,84.854,20.0,1065.0,471.0,4.056117307958543e-06,-5.877769727324683e-06,1.2520794285841378e-06,1.174859263758278e-07,6.897548790871094e-08,9.394371636418053e-08,-6.953724899813769e-07,4.77522658936041e-07
2635,19:46:05,32.70297,-117.234631,19:46:08.46,114.48809523809835,32.702874833,-117.2340295,-0.00010206700000026103,0.0006014999999877091,1016.1,451.58,88.021,20.0,1060.0,472.0,5.83299999945486e-06,-6.417000001589918e-06,9.304413456705832e-07,3.971348638554604e-07,-9.592897143315078e-07,8.580070371688545e-07,-5.275980801653583e-07,6.211942577548922e-08
2659,19:46:05,32.70297,-117.234631,19:46:09.46,115.48809523809847,32.702881333,-117.234036167,-9.55670000024611e-05,0.0005948329999938551,1008.8,452.0,90.794,20.529,1054.0,473.0,5.916999999299922e-06,-5.083499999613671e-06,-6.665000000790958e-07,1.8335000007137319e-06,-9.862206724221254e-07,2.181825679151731e-07,6.383153118075519e-07,-9.000489733957932e-07
2684,19:46:10,32.70297,-117.234631,19:46:10.46,116.48809523809845,32.702886667,-117.234039667,-9.023300000166046e-05,0.0005913329999884809,1000.0,452.0,93.0,22.0,1046.0,474.0,4.499999999296794e-06,-2.750000000162399e-06,-1.0419999991739217e-06,8.334999996861399e-07,3.1734090928348946e-07,-9.420909096227548e-07,1.4897044911366076e-06,3.325613132927901e-07
2709,19:46:10,32.70297,-117.234631,19:46:11.46,117.48809523809844,32.702890333,-117.234041667,-8.656700000386763e-05,0.0005893329999935304,992.61,452.57,90.159,21.432,1038.0,474.0,3.833000000952108e-06,-3.416500000241415e-06,-3.181818151212591e-08,-5.068181853175109e-08,1.993188309851047e-06,8.833051945007437e-07,-5.244349162433619e-07,8.731605701528472e-07
2733,19:46:10,32.70297,-117.234631,19:46:12.46,118.48809523809855,32.702894333,-117.2340465,-8.256699999975581e-05,0.0005844999999879974,985.52,453.11,87.432,20.886,1029.0,474.0,4.436363636272701e-06,-2.851363637225749e-06,2.944376620528622e-06,2.6001103886881676e-06,-7.315289232038494e-07,8.042302306827828e-07,-2.815750963028182e-06,-1.556698583738259e-07
2753,19:46:10,32.70297,-117.234631,19:46:13.29,119.32142857143198,32.702898333,-117.2340475,-7.856700000274941e-05,0.0005834999999905222,979.61,453.57,85.159,20.432,1022.0,474.0,8.515714281997084e-06,7.285714267318572e-07,-2.4003895800568306e-07,1.9879675416620598e-06,-3.1412059270981606e-06,6.21314449707439e-07,8.981984308580041e-06,3.970220633869594e-06
2761,19:46:10,32.70297,-117.234631,19:46:13.62,119.65476190476535,32.702901667,-117.234047,-7.523300000400468e-05,0.0005839999999892598,977.25,453.75,84.25,20.25,1019.0,474.0,7.750999998278518e-06,1.0835000026077068e-06,-1.196428564752836e-06,2.3758571403830753e-06,1.4359350708627588e-06,2.503350603802849e-06,1.2361671600621701e-05,3.7926827030746327e-06
2770,19:46:10,32.70297,-117.234631,19:46:14.0,120.32142857143205,32.702903833,-117.234046833,-7.306700000242472e-05,0.0005841669999995247,974.59,453.95,83.227,20.045,1016.0,474.0,8.417000003646698e-06,4.415499979870674e-06,5.501000003960825e-06,5.830999953104945e-06,7.850714280265e-06,2.560571393571492e-06,1.0119610318958894e-06,-2.5935324306266603e-06
2771,19:46:10,32.70297,-117.234631,19:46:14.33,120.65476190476538,32.7029075,-117.234044667,-6.940000000099644e-05,0.0005863329999868938,974.3,453.98,83.114,20.023,1016.0,474.0,1.1001000004284989e-05,6.497999962107407e-06,7.752000001914984e-06,6.247499946710288e-06,6.7529999938625725e-06,1.2494999808160485e-06,-3.2931428592073304e-06,-3.933214238266386e-06
